objID,ra,dec,type,u_mag,g_mag,r_mag,i_mag,z_mag,specObjID,clean
1237645879562863199,15.9311628206489,1.27242593870797,3,22.74824,22.91846,21.68052,21.7139,20.84717,0,1
1237645879562863200,15.9293777564205,1.27228338595841,3,24.04448,22.09697,21.5532,21.42805,21.03736,0,1
1237645879562863225,15.9377501818321,1.26256437120413,3,24.24812,21.67841,20.53382,20.23371,19.9095,0,1
1237645879562863229,15.9406654251497,1.26353929829623,3,22.55009,22.6527,21.94641,21.82908,22.89972,0,1
1237645879562863237,15.9436843437663,1.26633024955036,3,22.93875,21.20275,20.12049,19.7562,19.53506,0,1
1237645879562863248,15.9482959674365,1.26579874131651,3,23.62838,21.8229,20.77062,20.28119,19.84863,0,1
1237645879562863383,15.9189201726603,1.27235240459464,3,23.24311,23.60567,22.13171,23.24543,22.41415,0,1
1237645879562928258,16.0202444869369,1.26766725485021,3,20.98014,20.28274,19.35493,18.85322,18.44382,754453860055017472,1
1237645879562928320,15.9751977009564,1.26746375144977,3,20.86076,20.68031,20.21749,20.24656,19.86493,0,1
1237645879562928336,16.0157223346167,1.25963078200606,3,21.8535,21.00242,21.06226,20.65544,21.73156,0,1
1237645879562928380,15.9512563612481,1.27267371808593,3,22.12703,20.13545,18.94682,18.46654,18.12471,0,1
1237645879562928447,15.968132571126,1.26377362036558,3,22.82048,21.11172,19.9524,19.46681,19.14996,0,1
1237645879562928458,15.9746356675837,1.27037342004195,3,22.73846,21.10717,19.97912,19.46601,19.30337,0,1
1237645879562928474,15.9811431562887,1.26539398129273,3,22.42595,20.95804,19.82454,19.38387,19.06609,0,1
1237645879562928475,15.9812942739871,1.27059628913511,3,22.54083,21.4192,21.00478,20.72841,20.62997,0,1
1237645879562928479,15.9849255490415,1.27361852017319,3,22.33333,20.95698,20.08514,19.65385,19.24638,0,1
1237645879562928482,15.9857528380875,1.26419277858824,3,23.41238,21.47954,20.25095,19.67278,19.2527,0,1
1237645879562928483,15.9856705715146,1.26495487818326,3,23.76276,21.19663,20.41947,20.56727,20.35516,0,1
1237645879562928496,15.9903760475447,1.26790159269809,3,22.57469,20.71321,19.60716,19.14633,18.79679,0,1
1237645879562928514,15.9965191833253,1.27202324445058,3,22.18235,21.11118,20.5932,20.33367,20.26498,0,1
1237645879562928537,16.0031746141632,1.26704313747897,3,22.78287,22.45167,21.84128,21.83869,20.74781,0,1
1237645879562928544,16.0066031635466,1.26929886051142,3,24.20302,22.52789,21.80222,22.58008,22.78504,0,1
1237645879562928560,16.0149033695519,1.27146657247818,3,24.35523,21.73093,21.17264,20.68268,20.07024,0,1
1237645879562928603,16.0417244530474,1.26498188565631,3,22.42901,22.00706,21.20484,21.07671,21.06048,0,1
1237645879562928762,15.9730978482171,1.26717474677421,3,22.93495,22.91606,21.5984,21.51862,20.77371,0,1
1237645879562928792,16.0108288492409,1.26736525387329,3,24.49987,23.5377,22.03975,20.84255,20.28695,0,1
1237645879562928805,16.0260287029818,1.26677200936161,3,25.26718,22.31524,21.31751,19.9351,19.45918,4853831831466471424,1
1237645879562928808,16.0277602134161,1.27294144097557,3,22.03362,22.89416,20.91427,20.24701,19.9986,0,1
1237645879577936596,50.3518640348069,1.27014000907595,3,26.4345,22.18643,20.47475,19.29346,18.74819,0,1
1237645879578001865,50.4748368960742,1.27113552018146,3,23.46034,22.11447,21.48113,20.81093,20.62802,0,1
1237645879578001935,50.5071999177796,1.27220278622774,3,23.66129,22.79433,21.54374,21.53856,20.51043,0,1
1237645879578001991,50.3902694923498,1.27292618060968,3,23.14836,22.56267,21.0628,20.35495,19.8824,0,1
1237645879578002051,50.4570164697635,1.27312606017318,3,23.06242,23.09983,21.99024,21.842,20.63625,0,1
1237645879578002085,50.4910482918917,1.27094873915412,3,25.45298,23.43257,21.3811,20.5582,20.00813,0,1
